query,statement,unique_id,label
What is the life expectancy of someone with cancer?,ABCD rating : A staging system for prostate cancer that uses ABCD. “A” and “B” refer to cancer that is confined to the prostate. “C” refers to cancer that has grown out of the prostate but has not spread to lymph nodes or other places in the body. “D” refers to cancer that has spread to lymph nodes or to other places in the body. Also called Jewett staging system and Whitmore-Jewett staging system.,d9ce163c-1e85-429b-9f22-af9d7027b1ea,0
What is the life expectancy of someone with cancer?,"abiraterone acetate : A drug used with other drugs to treat prostate cancer that has spread to other parts of the body. Abiraterone acetate is used under the brand name Zytiga    to treat patients whose cancer is castration resistant (has not responded to treatments that lower testosterone levels) or whose cancer is high risk and castration sensitive (has responded to treatments that lower testosterone levels). It is also used under the brand name Yonsa to treat patients whose cancer is castration resistant. Abiraterone acetate is also being studied in the treatment of other types of cancer. It lowers the amount of androgens (male hormones), such as testosterone, made by the body. This may stop the growth of cancer cells that need androgens to grow. Abiraterone acetate is a type of antiandrogen.",bfc3183c-ebb3-476f-99b1-f947dea988b4,0
What is the life expectancy of someone with cancer?,Breast cancer incidence and mortality increase proportionally with age.,014f531c-e16c-41d5-94db-90f23db6bf86,0
What is the life expectancy of someone with cancer?,allelic heterogeneity : The presence of different variants at a single gene locus that cause the same or similar phenotypic expressions of a disease or condition.,2a5edb62-cecc-443e-bcb2-a7dc9ef0b0f4,0
What is the life expectancy of someone with cancer?,abarelix : A drug used to reduce the amount of testosterone made in patients with advanced symptomatic prostate cancer for which no other treatment options are available. It belongs to the family of drugs called gonadotropin-releasing hormone (GnRH) antagonists. Also called Plenaxis.,93323bfe-8176-45b9-b131-b7eaa2e9a113,0
What is the life expectancy of someone with cancer?,"aneuploidy : The occurrence of one or more extra or missing chromosomes leading to an unbalanced chromosome complement, or any chromosome number that is not an exact multiple of the haploid number (which is 23).",4b48012d-e162-487e-849c-c92004001665,0
What is the life expectancy of someone with cancer?,"carrier : In classical genetics, an individual who carries one deleterious allele for an autosomal recessive disorder. In clinical discussions, may refer to an individual who carries a deleterious allele that predisposes to disease.",eb20f893-5fec-40d5-bd3f-80698ec6d97c,0
does cancer have protein?,"allele : One of two or more DNA sequences occurring at a particular gene locus. Typically one allele (“normal” DNA sequence) is common, and other alleles (mutations) are rare.",3a33b9b9-5b54-4039-b607-1cb6c8ebee1d,0
does cancer have protein?,"affected individual : In genetics, describes an individual who has a particular phenotypic trait or disease. The individual expresses the trait or has signs and symptoms of the disease.",6b80d3a4-4005-4fe5-8b73-2af7beec9eee,0
does cancer have protein?,Breast cancer develops over time and may go through an in situ phase.,76e75d6e-4a6f-44cb-983a-16ae54dfa837,0
does cancer have protein?,A6 : A substance being studied in the treatment of cancer. A6 is a small piece of a protein called urokinase (an enzyme that dissolves blood clots or prevents them from forming). It is a type of antiangiogenesis agent and a type of antimetastatic agent. Also called urokinase plasminogen activator (uPA)-derived peptide A6.,286c58a9-bc7f-43bd-8ee6-63e0470b6f78,0
does cancer have protein?,ABCA1 pathway : Describes a group of proteins in a cell that work together to help remove extra cholesterol and certain fats from tissue in the body. Changes in the ABCA1 pathway may lead to diseases of the heart and blood vessels. Drugs or substances that affect this pathway are being studied in the prevention and treatment of some diseases.,d4e47834-d10e-4701-9fe8-37b2db10ac2d,0
does cancer have protein?,"ablation : In medicine, the removal or destruction of a body part or tissue or its function. Ablation may be performed by surgery, hormones, drugs, radiofrequency, heat, or other methods.",33ac813f-d2e9-4f67-b2ce-510aac40a699,0
does cancer have protein?,autosomal : Having to do with any of the 22 numbered pairs of chromosomes found in most human cells. Autosomal chromosomes are numbered 1-22. The sex chromosomes (X and Y chromosomes) determine whether an individual is male or female and are not considered autosomal chromosomes.,141a4304-6dde-443a-ad69-cd264a78f911,0
does cancer have protein?,"Abegrin : A substance being studied in the treatment of some types of cancer and other conditions. Abegrin binds to a protein on the surface of blood vessels and may prevent the growth of new blood vessels that tumors need to grow. It may also prevent the spread of cancer. It is a type of antiangiogenesis agent, a type of metastasis inhibitor, and a type of monoclonal antibody. Also called etaracizumab, humanized monoclonal antibody MEDI-522, and MEDI-522.",384a0d2b-08d1-4a06-8e03-7c6383efd9de,0
does cancer have protein?,"biallelic : Of or
          pertaining to both alleles of a single gene (paternal and
          maternal). For example, biallelic mutation carriers have a
          mutation (not necessarily the same mutation) in both copies
          of a particular gene (a paternal and a maternal
          mutation).",e1162914-fa13-4463-a614-5db0328452f2,0
does cancer have protein?,allelic heterogeneity : The presence of different variants at a single gene locus that cause the same or similar phenotypic expressions of a disease or condition.,2a5edb62-cecc-443e-bcb2-a7dc9ef0b0f4,0
does cancer have protein?,"carrier rate : The proportion of individuals in a population who have a single copy of a specific recessive genetic variant. Carrier rate also sometimes refers to the prevalence of variants in dominantly acting genes, such as BRCA1 and BRCA2. Also called carrier frequency.",ae7b135f-4983-41b1-b7dd-f2607de9995e,0
does cancer have protein?,"abdominal x-ray : An x-ray of the organs inside the abdomen. An x-ray is a type of radiation that can pass through the body and onto film, making pictures of areas inside the body. X-rays may be used to help diagnose disease.",c1b4ae68-515c-4278-9eee-2fd10b6c7d82,0
does cancer have protein?,"Abecma : A drug used to treat adults with multiple myeloma that relapsed (came back) or did not get better after treatment with at least four other anticancer therapies, including an anti-CD38 monoclonal antibody, a proteasome inhibitor, and an immunomodulating agent. It is also being studied in the treatment of other types of cancer. Abecma is made using a patient’s T cells (a type of immune system cell). A gene for a special receptor called chimeric antigen receptor (CAR) is added to the T cells in the laboratory. These changed T cells called CAR T cells are grown in large numbers in the laboratory and given to the patient by infusion. Abecma binds to a protein called BCMA, which is found on myeloma cells and some types of immune cells. This helps the body’s immune system kill cancer cells. Abecma is a type of CAR T-cell therapy. Also called idecabtagene vicleucel.",ee84be21-5931-416e-82f5-50a385e59455,0
does cancer have protein?,aberrant crypt foci : Clusters of abnormal tube-like glands in the lining of the colon and rectum. Aberrant crypt foci form before colorectal polyps and are one of the earliest changes that can be seen in the colon that may lead to cancer. Also called ACF.,38871455-27f8-47ec-aeb6-a6b5709e980c,0
does cancer have protein?,"carrier frequency : The proportion of individuals in a population who have a single copy of a specific recessive genetic variant. Carrier frequency also sometimes refers to the prevalence of variants in dominantly acting genes, such as BRCA1 and BRCA2. Also called carrier rate.",00cfd76f-9b3e-4d45-956d-a87cb60c1e2d,0
does cancer have protein?,AAP : An enzyme that is normally found in healthy kidneys. It may be found at high levels in the urine when there are kidney problems.  It is used as a biomarker to detect damage to the kidneys caused by drugs and other agents. It may also be used to diagnose certain kidney and liver disorders. Also called alanine aminopeptidase.,8925885a-b49c-4cc6-80df-46d0bdfbe8ed,0
does cancer have protein?,"acrochordon : A small, benign skin growth that may have a stalk (peduncle). Acrochordons most commonly appear on the neck, axillary, groin, and inframammary regions. Also called skin tag.",6b45e32f-3962-47c9-90cf-dd692471deaa,0
does cancer have protein?,"abnormal : Not normal. Describes a state, condition, or behavior that is unusual or different from what is considered normal. An abnormal lesion or growth in or on the body may be benign (not cancer), precancerous or premalignant (likely to become cancer), or malignant (cancer).",81de4164-f839-409c-89cb-83cffa26d793,0
does cancer have protein?,"autosomal dominant inheritance : One of the ways a genetic trait or a genetic condition can be inherited. In autosomal dominant inheritance, a genetic condition occurs when a variant is present in only one allele (copy) of a given gene. 
",e9495ce8-6772-4b25-a284-63dfeb13a38e,0
