query,statement,unique_id,label
Does genetics affect breast cancer?,"AAT deficiency : An inherited condition in which the body either does not make enough of a protein called alpha-1 antitrypsin (AAT) or makes an abnormal form of AAT. AAT is made in the liver and helps protect the body’s organs, especially the liver and lungs, from damage. AAT deficiency can lead to serious lung conditions (including emphysema and bronchiectasis) and liver conditions (including cirrhosis, hepatitis, and liver cancer). It may also cause inflammation of the blood vessels and a rare skin condition that causes painful lumps on or under the skin. Lung problems caused by AAT deficiency almost always occur in adults, but liver and skin problems may occur in both adults and children. AAT deficiency is caused by a mutation (change) in a gene called SERPINA1. Also called alpha-1 antitrypsin deficiency.",74785160-6fbd-4d30-883e-5c6f892220b8,0
Does genetics affect breast cancer?,"allele : One of two or more DNA sequences occurring at a particular gene locus. Typically one allele (“normal” DNA sequence) is common, and other alleles (mutations) are rare.",3a33b9b9-5b54-4039-b607-1cb6c8ebee1d,0
Does genetics affect breast cancer?,Breast cancer incidence and mortality increase proportionally with age.,014f531c-e16c-41d5-94db-90f23db6bf86,0
Does genetics affect breast cancer?,"carrier : In classical genetics, an individual who carries one deleterious allele for an autosomal recessive disorder. In clinical discussions, may refer to an individual who carries a deleterious allele that predisposes to disease.",eb20f893-5fec-40d5-bd3f-80698ec6d97c,0
Does genetics affect breast cancer?,"attributable risk : Proportion of a disease in exposed individuals that can be attributed to an exposure. In the context of genetic studies, the ""exposure"" is the frequency of a specific genetic variant.",abb94877-27bf-42fb-acda-7f27f071f453,0
Does genetics affect breast cancer?,"abiraterone acetate : A drug used with other drugs to treat prostate cancer that has spread to other parts of the body. Abiraterone acetate is used under the brand name Zytiga    to treat patients whose cancer is castration resistant (has not responded to treatments that lower testosterone levels) or whose cancer is high risk and castration sensitive (has responded to treatments that lower testosterone levels). It is also used under the brand name Yonsa to treat patients whose cancer is castration resistant. Abiraterone acetate is also being studied in the treatment of other types of cancer. It lowers the amount of androgens (male hormones), such as testosterone, made by the body. This may stop the growth of cancer cells that need androgens to grow. Abiraterone acetate is a type of antiandrogen.",bfc3183c-ebb3-476f-99b1-f947dea988b4,0
What is breast cancer?,"abnormal : Not normal. Describes a state, condition, or behavior that is unusual or different from what is considered normal. An abnormal lesion or growth in or on the body may be benign (not cancer), precancerous or premalignant (likely to become cancer), or malignant (cancer).",81de4164-f839-409c-89cb-83cffa26d793,0
What is breast cancer?,"Women with a history of breast cancer are at higher risk of developing the disease again, especially if the initial age at diagnosis was less than 40 years of age.",9ede0067-e2ac-4ee3-893f-72a76b829984,0
What is breast cancer?,"affected individual : In genetics, describes an individual who has a particular phenotypic trait or disease. The individual expresses the trait or has signs and symptoms of the disease.",6b80d3a4-4005-4fe5-8b73-2af7beec9eee,0
What is breast cancer?,"acrochordon : A small, benign skin growth that may have a stalk (peduncle). Acrochordons most commonly appear on the neck, axillary, groin, and inframammary regions. Also called skin tag.",6b45e32f-3962-47c9-90cf-dd692471deaa,0
What is breast cancer?,Combined estrogen and progestin therapy increases the risk of developing breast cancer.,4d485afb-dfdf-431a-98b5-e6b2312c09f6,0
What is breast cancer?,"Although the overall incidence of breast cancer is slightly lower in black women than in white women, black women have the highest 5 year breast cancer mortality rate for each known stage at diagnosis.",d279b1dc-f2d3-40d5-9fca-1f6506581a11,0
What is breast cancer?,"allele : One of two or more DNA sequences occurring at a particular gene locus. Typically one allele (“normal” DNA sequence) is common, and other alleles (mutations) are rare.",3a33b9b9-5b54-4039-b607-1cb6c8ebee1d,0
What is breast cancer?,"antioncogene : A type of gene that regulates cell growth. When an antioncogene is mutated, uncontrolled cell growth may occur. This may contribute to the development of cancer. Also called tumor suppressor gene.",2cf74d14-13ff-4451-9b0d-aa386559624a,0
What is breast cancer?,"abdominal x-ray : An x-ray of the organs inside the abdomen. An x-ray is a type of radiation that can pass through the body and onto film, making pictures of areas inside the body. X-rays may be used to help diagnose disease.",c1b4ae68-515c-4278-9eee-2fd10b6c7d82,0
What is breast cancer?,"abdominal ultrasound : A procedure used to examine the organs in the abdomen. An ultrasound transducer (probe) is pressed firmly against the skin of the abdomen. High-energy sound waves from the transducer bounce off tissues and create echoes. The echoes are sent to a computer, which makes a picture called a sonogram. Also called transabdominal ultrasound.",e3e7b8f1-8119-4896-8564-3d0a43a4fd1f,0
What is breast cancer?,A6 : A substance being studied in the treatment of cancer. A6 is a small piece of a protein called urokinase (an enzyme that dissolves blood clots or prevents them from forming). It is a type of antiangiogenesis agent and a type of antimetastatic agent. Also called urokinase plasminogen activator (uPA)-derived peptide A6.,286c58a9-bc7f-43bd-8ee6-63e0470b6f78,0
What is breast cancer?,"Following a thorough assessment and confirmation of MBC, the potential treatment goals of care should be discussed. Patients should be told that MBC is incurable but treatable, and that some patients can live with MBC for extended periods of time (many years in some circumstances).
This conversation should be conducted in the accessible language, respecting patient privacy and cultural differences, and whenever possible, written information should be provided.",15eebbed-5855-4757-9bf2-f99936ae8d01,0
What is breast cancer?,aberrant crypt foci : Clusters of abnormal tube-like glands in the lining of the colon and rectum. Aberrant crypt foci form before colorectal polyps and are one of the earliest changes that can be seen in the colon that may lead to cancer. Also called ACF.,38871455-27f8-47ec-aeb6-a6b5709e980c,0
What is breast cancer?,Younger age at menarche and older age at menopause increases breast cancer risk.,3f2c489d-28d5-4c29-830f-34cc9a5f68b5,0
What is breast cancer?,AAP : An enzyme that is normally found in healthy kidneys. It may be found at high levels in the urine when there are kidney problems.  It is used as a biomarker to detect damage to the kidneys caused by drugs and other agents. It may also be used to diagnose certain kidney and liver disorders. Also called alanine aminopeptidase.,8925885a-b49c-4cc6-80df-46d0bdfbe8ed,0
What is breast cancer?,"ablation : In medicine, the removal or destruction of a body part or tissue or its function. Ablation may be performed by surgery, hormones, drugs, radiofrequency, heat, or other methods.",33ac813f-d2e9-4f67-b2ce-510aac40a699,0
